YEAR;MO;DY;HOUR;T
2022;1;27;12;4.746666667
2022;1;27;13;5.071666667
2022;1;27;14;5.351666667
2022;1;27;15;5.573333333
2022;1;27;16;5.798333333
2022;1;27;17;6.156666667
2022;1;27;18;6.345
2022;1;27;19;6.396666667
2022;1;27;20;6.075
2022;1;27;21;6.006666667
2022;1;27;22;5.641666667
2022;1;27;23;5.471666667
2022;1;28;0;5.068333333
2022;1;28;1;4.361666667
2022;1;28;2;4.091666667
2022;1;28;3;3.355
2022;1;28;4;2.81
2022;1;28;5;2.621666667
2022;1;28;6;2.13
2022;1;28;7;1.98
2022;1;28;8;1.918333333
2022;1;28;9;2.815
2022;1;28;10;3.548333333
2022;1;28;11;4.241666667
2022;1;28;12;4.428333333
2022;1;28;13;4.231666667
2022;1;28;14;3.321666667
2022;1;28;15;3.335
2022;1;28;16;4.043333333
2022;1;28;17;4.275
2022;1;28;18;4.198333333
2022;1;28;19;3.885
2022;1;28;20;3.665
2022;1;28;21;3.728333333
2022;1;28;22;3.865
2022;1;28;23;4.143333333
2022;1;29;0;4.318333333
2022;1;29;1;4.471666667
2022;1;29;2;4.471666667
2022;1;29;3;4.38
2022;1;29;4;4.355
2022;1;29;5;4.446666667
2022;1;29;6;4.511666667
2022;1;29;7;4.811666667
2022;1;29;8;5.095
2022;1;29;9;5.665
2022;1;29;10;6.146666667
2022;1;29;11;6.85
2022;1;29;12;7.756666667
2022;1;29;13;8.471666667
2022;1;29;14;8.983333333
2022;1;29;15;9.078333333
2022;1;29;16;9.216666667
2022;1;29;17;8.928333333
2022;1;29;18;8.57
2022;1;29;19;8.815
2022;1;29;20;8.891666667
2022;1;29;21;8.855
2022;1;29;22;8.338333333
2022;1;29;23;7.71
2022;1;30;0;7.081666667
2022;1;30;1;5.956666667
2022;1;30;2;5.308333333
2022;1;30;3;4.866666667
2022;1;30;4;4.465
2022;1;30;5;3.65
2022;1;30;6;3.085
2022;1;30;7;3.015
2022;1;30;8;3.191666667
2022;1;30;9;3.141666667
