Temperature C;U_wind (m/s)
1.266666667;5.3
0.868333333;5.4
0.54;5.6
0.115;5.7
0.175;5.7
-0.038333333;5.9
-0.013333333;6.2
0.173333333;6.4
1.321666667;6.5
2.51;6.3
3.55;6.4
5.661666667;6.6
7.64;6.8
9.278333333;6.9
10.73666667;7.3
10.42166667;7.9
9.02;8
8.613333333;8
8.456666667;8.3
8.651666667;8.6
8.618333333;8.8
8.851666667;8.7
8.633333333;8.5
8.79;8.1
8.703333333;8
8.815;8.5
8.665;9
8.57;9.1
8.725;9
9.105;8.9
8.588333333;8.8
8.365;8.4
8.55;7.5
8.09;6.4
8.233333333;6.3
8.59;6.8
8.568333333;6.7
9.178333333;7
9.546666667;7.1
10.605;6.2
9.158333333;5.6
7.513333333;5.4
6.583333333;5.3
5.635;4.9
5.368333333;4.6
5.048333333;4.6
5.026666667;4.1
5.208333333;3.4
5.601666667;3.3
5.113333333;3.1
5.346666667;3
5.346666667;3.2
4.923333333;3.6
4.696666667;3.9
4.588333333;4.1
4.43;4.4
4.666666667;5
5.05;5.5
5.625;6
6.705;6.6
7.755;7
8.498333333;7.2
9.083333333;7.1
8.7;7.2
7.901666667;7.6
7.365;7.9
7.208333333;8.2
6.736666667;8.3
6.285;8.3
6.245;8.2
6.3;8.1
6.318333333;7.9
6.483333333;7.7
6.671666667;7.5
6.86;7.5
6.965;7.6
7.135;8
7.308333333;8.5
7.448333333;8.9
7.61;9
8.055;8.8
8.566666667;8.2
9.223333333;7.8
9.958333333;8
10.99;8.3
11.33833333;8.3
11.41333333;8.6
11.46833333;8.7
11.93333333;9
10.96166667;9.6
11.09;10.2
11.69833333;10.8
11.79666667;11.2
12.09833333;11
12.21;10.9
11.75333333;11
11.42166667;11.8
11.27;12.8
10.815;12.2
10.235;11.1
9.535;10.3
9.09;9.8
8.815;9.7
8.566666667;9.4
8.273333333;8.9
8.545;8.6
9.01;8.5
7.32;8.6
7.715;8.6
9.273333333;8.4
10.29833333;7.6
9.681666667;7
9.191666667;6.7
8.393333333;6.2
7.873333333;6.3
7.556666667;6.6
6.74;6.4
6.126666667;6.2
5.911666667;5.7
7.268333333;4.8
6.928333333;4.1
6.76;4.4
6.558333333;4.6
6.553333333;5.2
6.676666667;6.5
6.691666667;7.6
6.95;8.1
7.553333333;8.4
8.253333333;8.5
9.41;8.9
10.535;9.4
11.23166667;10.5
11.135;11.5
11.45333333;11.8
10.53333333;12.3
8.12;13
9.133333333;13.7
8.801666667;13.6
8.015;12.7
7.131666667;11.6
6.536666667;10.9
6.058333333;11.1
4.695;10.9
3.991666667;10.1
4.008333333;9.8
3.793333333;9.3
3.766666667;8.4
3.828333333;7.8
3.586666667;7.5
2.965;7.2
2.79;6.9
2.813333333;6.8
2.85;7
3.978333333;6.8
5.521666667;6.5
6.19;6.6
6.536666667;6.8
7.52;7.1
7.253333333;7
6.928333333;6.9
6.571666667;7.6
6.063333333;9
5.751666667;10.2
4.798333333;10.8
3.998333333;10.7
4.15;10.6
4.688333333;10
5.56;8.8
6.121666667;8
6.553333333;7
6.256666667;6
5.756666667;5.9
5.68;6.7
6.078333333;7.7
6.628333333;8.6
6.79;9.1
6.841666667;9.1
7.038333333;8.9
7.478333333;9.2
8.148333333;9.3
9.228333333;9.3
9.218333333;9.8
9.593333333;10.1
9.18;10.2
8.71;10.6
8.93;11
9.303333333;11.2
9.573333333;11.6
9.648333333;12.2
9.525;12.7
8.73;12.9
8.786666667;12
5.906666667;11.2
5.446666667;9.9
3.231666667;8.5
3.941666667;8.3
3.948333333;8.4
3.756666667;8.2
3.125;8.2
3.106666667;8.4
3.388333333;8.7
4.56;10
5.516666667;10.8
4.723333333;10.7
4.28;10.6
4.516666667;10.4
5.071666667;10.3
5.1;9.5
5.861666667;8.1
6.088333333;6.8
5.645;6.3
5.423333333;6.3
5.515;6.5
5.341666667;5.9
4.963333333;4.9
4.846666667;4.5
4.406666667;4.5
4.058333333;4.2
3.708333333;3.6
3.335;3.1
3.011666667;3
2.818333333;3.5
3.153333333;4.1
3.693333333;4.7
4.131666667;5.6
5.161666667;6.6
6.2;6.9
6.835;6.9
7.388333333;7.2
7.135;7.4
7.231666667;7.5
7.895;7.6
8.343333333;7.8
8.518333333;8
8.51;7.8
8.506666667;7.6
8.381666667;6.6
7.721666667;4.8
7.12;3.8
5.87;3.5
5.668333333;3
5.08;2.5
4.398333333;2.3
3.796666667;2.3
3.288333333;2.3
3.075;2.1
2.801666667;2.4
2.55;3.1
3.143333333;3.5
5.313333333;3.6
6.756666667;4.2
8.205;4.7
9.23;4.8
10.17;4.9
10.81333333;5
10.88333333;4.6
9.886666667;4
9.001666667;4
8.295;4.3
8.058333333;4.6
7.37;4.8
6.573333333;4.8
6.555;4.6
6.588333333;4.4
6.786666667;4.5
6.913333333;4.5
6.971666667;4.4
7.01;4.5
6.97;4.4
6.798333333;4.1
6.553333333;4.1
6.563333333;4.5
6.203333333;4.8
6.543333333;5.6
7.803333333;7
8.62;8.6
9.155;9.9
9.431666667;9.6
9.693333333;9
7.363333333;8.3
2.131666667;6.4
2.863333333;5.5
2.946666667;6.4
2.345;7.4
1.438333333;7.7
1.346666667;6.5
1.821666667;5.4
1.675;5.4
1.338333333;5.3
1.263333333;5.1
1.068333333;5.2
0.815;5.5
0.301666667;5.8
0.208333333;6.1
0.295;6.5
0.813333333;6.6
1.651666667;6.6
2.366666667;6.7
3.861666667;6.8
4.538333333;6.7
5.118333333;6.6
5.901666667;6
