YEAR;MO;DY;HOUR;P;T
2022.0;1.0;16.0;0.0;264.08474576271186;1.158333333
2022.0;1.0;16.0;1.0;265.10169491525426;0.69
2022.0;1.0;16.0;2.0;256.40677966101697;0.233333333
2022.0;1.0;16.0;3.0;261.59322033898303;0.341666667
2022.0;1.0;16.0;4.0;273.66101694915255;0.315
2022.0;1.0;16.0;5.0;247.64406779661016;0.553333333
2022.0;1.0;16.0;6.0;266.2542372881356;0.625
2022.0;1.0;16.0;7.0;260.96610169491527;0.763333333
2022.0;1.0;16.0;8.0;265.35593220338984;1.0
2022.0;1.0;16.0;9.0;251.6271186440678;1.191666667
2022.0;1.0;16.0;10.0;258.9491525423729;1.315
2022.0;1.0;16.0;11.0;250.28813559322035;1.545
2022.0;1.0;16.0;12.0;257.4237288135593;1.978333333
2022.0;1.0;16.0;13.0;252.08474576271186;2.386666667
2022.0;1.0;16.0;14.0;259.94827586206895;2.55
2022.0;1.0;16.0;15.0;244.864406779661;2.601666667
2022.0;1.0;16.0;16.0;252.83050847457628;2.503333333
2022.0;1.0;16.0;17.0;251.57627118644066;2.316666667
2022.0;1.0;16.0;18.0;260.89830508474574;2.156666667
2022.0;1.0;16.0;19.0;231.10169491525423;2.01
2022.0;1.0;16.0;20.0;259.9830508474576;1.885
2022.0;1.0;16.0;21.0;237.52542372881356;1.701666667
2022.0;1.0;16.0;22.0;269.49152542372883;1.761666667
2022.0;1.0;16.0;23.0;228.47457627118644;1.835
2022.0;1.0;17.0;0.0;265.3220338983051;1.998333333
2022.0;1.0;17.0;1.0;235.47457627118644;2.271666667
2022.0;1.0;17.0;2.0;258.7118644067797;2.37
2022.0;1.0;17.0;3.0;239.47457627118644;2.575
2022.0;1.0;17.0;4.0;253.135593220339;2.636666667
2022.0;1.0;17.0;5.0;247.4915254237288;2.995
2022.0;1.0;17.0;6.0;245.864406779661;3.211666667
2022.0;1.0;17.0;7.0;264.54237288135596;3.38
2022.0;1.0;17.0;8.0;323.45762711864404;3.438333333
2022.0;1.0;17.0;9.0;323.1694915254237;3.581666667
2022.0;1.0;17.0;10.0;319.66101694915255;4.035
2022.0;1.0;17.0;11.0;323.20338983050846;4.323333333
2022.0;1.0;17.0;12.0;312.89830508474574;4.888333333
2022.0;1.0;17.0;13.0;324.8135593220339;5.283333333
2022.0;1.0;17.0;14.0;326.135593220339;5.136666667
2022.0;1.0;17.0;15.0;297.4406779661017;5.038333333
2022.0;1.0;17.0;16.0;308.66101694915255;5.073333333
2022.0;1.0;17.0;17.0;250.72881355932202;5.088135593
